substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
[Se]CH=CHCl-m,O=C(O)C1=CC([Se]/C=C/Cl)=CC=C1,O=C([O-])C1=CC([Se]/C=C/Cl)=CC=C1,0.28,[Se]C=CCl,1,0,1,-1,1
B(OH)2-m,O=C(O)C1=CC=CC(B(O)O)=C1,O=C([O-])C1=CC=CC(B(O)O)=C1,-0.01,[B](O)O,1,0,1,-1,1
B(OH)2-p,O=C(O)C1=CC=C(B(O)O)C=C1,O=C([O-])C1=CC=C(B(O)O)C=C1,0.12,[B](O)O,2,0,1,-1,1
B(OH)3- -m,O=C(O)C1=CC=CC([B-](O)(O)O)=C1,O=C([O-])C1=CC=CC([B-](O)(O)O)=C1,-0.48,[B-](O)(O)O,1,-1,1,-2,1
B(OH)3- -p,O=C(O)C1=CC=C([B-](O)(O)O)C=C1,O=C([O-])C1=CC=C([B-](O)(O)O)C=C1,-0.44,[B-](O)(O)O,2,-1,1,-2,1
BF2-m,O=C(O)C1=CC=CC(B(F)F)=C1,O=C([O-])C1=CC=CC(B(F)F)=C1,0.32,[B](F)F,1,0,1,-1,1
BF2-p,O=C(O)C1=CC=C(B(F)F)C=C1,O=C([O-])C1=CC=C(B(F)F)C=C1,0.48,[B](F)F,2,0,1,-1,1
Br-m,O=C(O)C1=CC(Br)=CC=C1,O=C([O-])C1=CC(Br)=CC=C1,0.39,[Br],1,0,1,-1,1
Br-p,C1=CC(=CC=C1C(=O)O)Br,C1=CC(=CC=C1C(=O)[O-])Br,0.23,[Br],2,0,1,-1,1
C(Me)(NO2)2 -m,O=C(O)C1=CC(C([N+]([O-])=O)(C)[N+]([O-])=O)=CC=C1,O=C([O-])C1=CC(C([N+]([O-])=O)(C)[N+]([O-])=O)=CC=C1,0.54,[C]([N+](=O)[O-])(C)[N+](=O)[O-],1,0,1,-1,1
C(Me)(NO2)2 -p,O=C(O)C1=CC=C(C([N+]([O-])=O)(C)[N+]([O-])=O)C=C1,O=C([O-])C1=CC=C(C([N+]([O-])=O)(C)[N+]([O-])=O)C=C1,0.61,[C]([N+](=O)[O-])(C)[N+](=O)[O-],2,0,1,-1,1
C(NO2)3 -m,O=C(O)C1=CC=CC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1,O=C([O-])C1=CC=CC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1,0.72,[C]([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1,0,1,-1,1
C(NO2)3 -p,O=C(O)C1=CC=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C1,O=C([O-])C1=CC=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C1,0.82,[C]([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2,0,1,-1,1
C(OH)(CF3)2-m,O=C(O)C1=CC(C(C(F)(F)F)(C(F)(F)F)O)=CC=C1,O=C([O-])C1=CC(C(C(F)(F)F)(C(F)(F)F)O)=CC=C1,0.29,[C](O)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
C(OH)(CF3)2-p,O=C(O)C1=CC=C(C(C(F)(F)F)(C(F)(F)F)O)C=C1,O=C([O-])C1=CC=C(C(C(F)(F)F)(C(F)(F)F)O)C=C1,0.3,[C](O)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
CBr3-m,C1=CC(=CC(=C1)C(Br)(Br)Br)C(=O)O,C1=CC(=CC(=C1)C(Br)(Br)Br)C(=O)[O-],0.28,[C](Br)(Br)Br,1,0,1,-1,1
CBr3-p,C1=CC(=CC=C1C(=O)O)C(Br)(Br)Br,C1=CC(=CC=C1C(=O)[O-])C(Br)(Br)Br,0.29,[C](Br)(Br)Br,2,0,1,-1,1
CCCF3-m,O=C(O)C1=CC(C#CC(F)(F)F)=CC=C1,O=C([O-])C1=CC(C#CC(F)(F)F)=CC=C1,0.41,[C]#CC(F)(F)F,1,0,1,-1,1
CCCF3-p,O=C(O)C1=CC=C(C#CC(F)(F)F)C=C1,O=C([O-])C1=CC=C(C#CC(F)(F)F)C=C1,0.51,[C]#CC(F)(F)F,2,0,1,-1,1
CCCH3-m,O=C(O)C1=CC(C#CC)=CC=C1,O=C([O-])C1=CC(C#CC)=CC=C1,0.21,[C]#CC,1,0,1,-1,1
CCCH3-p,O=C(O)C1=CC=C(C#CC)C=C1,O=C([O-])C1=CC=C(C#CC)C=C1,0.03,[C]#CC,2,0,1,-1,1
CCl3-m,C1=CC(=CC(=C1)C(Cl)(Cl)Cl)C(=O)O,C1=CC(=CC(=C1)C(Cl)(Cl)Cl)C(=O)[O-],0.4,[C](Cl)(Cl)Cl,1,0,1,-1,1
CCl3-p,C1=CC(=CC=C1C(=O)O)C(Cl)(Cl)Cl,C1=CC(=CC=C1C(=O)[O-])C(Cl)(Cl)Cl,0.46,[C](Cl)(Cl)Cl,2,0,1,-1,1
CF(CF3)2-m,O=C(O)C1=CC(C(C(F)(F)F)(C(F)(F)F)F)=CC=C1,O=C([O-])C1=CC(C(C(F)(F)F)(C(F)(F)F)F)=CC=C1,0.37,[C](F)(C(F)(F)F)C(F)(F)F,1,0,1,-1,1
CF(CF3)2-p,O=C(O)C1=CC=C(C(C(F)(F)F)(C(F)(F)F)F)C=C1,O=C([O-])C1=CC=C(C(C(F)(F)F)(C(F)(F)F)F)C=C1,0.53,[C](F)(C(F)(F)F)C(F)(F)F,2,0,1,-1,1
CF2CF2CF3-m,O=C(O)C1=CC(C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,0.44,[C](F)(F)C(F)(F)C(F)(F)F,1,0,1,-1,1
CF2CF2CF3-p,O=C(O)C1=CC=C(C(F)(F)C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(C(F)(F)C(F)(F)C(F)(F)F)C=C1,0.48,[C](F)(F)C(F)(F)C(F)(F)F,2,0,1,-1,1
CF2CF3-m,O=C(O)C1=CC=CC(C(F)(F)C(F)(F)F)=C1,O=C([O-])C1=CC=CC(C(F)(F)C(F)(F)F)=C1,0.47,[C](F)(F)C(F)(F)F,1,0,1,-1,1
CF2CF3-p,O=C(O)C1=CC=C(C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(C(F)(F)C(F)(F)F)C=C1,0.52,[C](F)(F)C(F)(F)F,2,0,1,-1,1
CF2H-m,C1=CC(=CC(=C1)C(F)F)C(=O)O,C1=CC(=CC(=C1)C(F)F)C(=O)[O-],0.29,[CH](F)F,1,0,1,-1,1
CF2H-p,C1=CC(=CC=C1C(=O)O)C(F)F,C1=CC(=CC=C1C(=O)[O-])C(F)F,0.32,[CH](F)F,2,0,1,-1,1
CF3-m,C1=CC(=CC(=C1)C(F)(F)F)C(=O)O,C1=CC(=CC(=C1)C(F)(F)F)C(=O)[O-],0.43,[C](F)(F)F,1,0,1,-1,1
CF3-p,C1=CC(=CC=C1C(=O)O)C(F)(F)F,C1=CC(=CC=C1C(=O)[O-])C(F)(F)F,0.54,[C](F)(F)F,2,0,1,-1,1
Ch=CH2-m,O=C(O)C1=CC(C=C)=CC=C1,O=C([O-])C1=CC(C=C)=CC=C1,0.06,[CH]=C,1,0,1,-1,1
Ch=CH2-p,O=C(O)C1=CC=C(C=C)C=C1,O=C([O-])C1=CC=C(C=C)C=C1,-0.04,[CH]=C,2,0,1,-1,1
